"プロット タイトル: Microstation_00_ecser_surface_210528"
"#","日付 時間, GMT+09:00","PAR, uE","風速, m/s","突風の速さ, m/s","圧力, mbar"
1,05/28/2021 03:20:01 午後,383.7,4.53,9.06,1004.350
2,05/28/2021 03:30:01 午後,271.2,4.53,8.05,1004.150
3,05/28/2021 03:40:01 午後,148.7,3.02,8.05,1004.050
4,05/28/2021 03:50:01 午後,188.7,3.52,8.05,1004.050
5,05/28/2021 04:00:01 午後,121.2,4.53,11.58,1003.850
6,05/28/2021 04:10:01 午後,216.2,3.52,10.07,1003.550
7,05/28/2021 04:20:01 午後,163.7,1.01,5.54,1003.650
8,05/28/2021 04:30:01 午後,271.2,1.01,4.03,1003.550
9,05/28/2021 04:40:01 午後,216.2,1.51,5.03,1003.950
10,05/28/2021 04:50:01 午後,101.2,2.01,5.03,1003.650
11,05/28/2021 05:00:01 午後,76.2,2.52,7.55,1003.450
12,05/28/2021 05:10:01 午後,96.2,2.01,5.54,1003.550
13,05/28/2021 05:20:01 午後,91.2,2.52,7.05,1003.450
14,05/28/2021 05:30:01 午後,173.7,4.03,8.05,1003.650
15,05/28/2021 05:40:01 午後,103.7,5.03,9.06,1003.750
16,05/28/2021 05:50:01 午後,93.7,6.04,12.58,1003.650
17,05/28/2021 06:00:01 午後,113.7,6.04,12.08,1003.850
18,05/28/2021 06:10:01 午後,111.2,6.04,12.08,1003.750
19,05/28/2021 06:20:01 午後,98.7,4.53,10.57,1003.950
20,05/28/2021 06:30:01 午後,21.2,5.54,11.07,1003.750
21,05/28/2021 06:40:01 午後,16.2,6.54,11.58,1003.950
22,05/28/2021 06:50:01 午後,6.2,6.04,11.58,1004.250
23,05/28/2021 07:00:01 午後,6.2,6.54,13.09,1003.950
24,05/28/2021 07:10:01 午後,3.7,4.53,11.58,1003.850
25,05/28/2021 07:20:01 午後,1.2,4.53,10.07,1004.150
26,05/28/2021 07:30:01 午後,1.2,4.03,9.06,1004.050
27,05/28/2021 07:40:01 午後,1.2,4.53,9.06,1004.050
28,05/28/2021 07:50:01 午後,1.2,6.04,11.07,1003.950
29,05/28/2021 08:00:01 午後,1.2,4.53,8.56,1004.050
30,05/28/2021 08:10:01 午後,1.2,5.03,11.58,1003.850
31,05/28/2021 08:20:01 午後,1.2,5.03,12.08,1003.750
32,05/28/2021 08:30:01 午後,1.2,5.54,10.07,1004.350
33,05/28/2021 08:40:01 午後,1.2,5.54,10.57,1004.250
34,05/28/2021 08:50:01 午後,1.2,6.04,10.57,1003.950
35,05/28/2021 09:00:01 午後,1.2,6.04,10.57,1004.450
36,05/28/2021 09:10:01 午後,1.2,6.04,10.07,1004.550
37,05/28/2021 09:20:01 午後,1.2,5.54,10.07,1004.550
38,05/28/2021 09:30:01 午後,1.2,6.04,12.08,1004.650
39,05/28/2021 09:40:01 午後,1.2,5.03,9.56,1004.650
40,05/28/2021 09:50:01 午後,1.2,5.03,10.57,1004.850
41,05/28/2021 10:00:01 午後,1.2,5.54,10.07,1004.850
42,05/28/2021 10:10:01 午後,1.2,5.03,11.07,1004.850
43,05/28/2021 10:20:01 午後,1.2,4.53,8.56,1004.950
44,05/28/2021 10:30:01 午後,1.2,4.53,9.06,1005.150
45,05/28/2021 10:40:01 午後,1.2,3.02,6.54,1005.250
46,05/28/2021 10:50:01 午後,1.2,4.03,7.05,1005.250
47,05/28/2021 11:00:01 午後,1.2,2.52,7.05,1005.350
48,05/28/2021 11:10:01 午後,1.2,1.01,4.03,1005.250
49,05/28/2021 11:20:01 午後,1.2,1.01,3.52,1005.150
50,05/28/2021 11:30:01 午後,1.2,1.51,4.53,1005.250
51,05/28/2021 11:40:01 午後,1.2,1.01,5.03,1005.350
52,05/28/2021 11:50:01 午後,1.2,3.02,6.54,1005.450
53,05/29/2021 12:00:01 午前,1.2,3.52,6.04,1005.450
54,05/29/2021 12:10:01 午前,1.2,3.52,6.04,1005.450
55,05/29/2021 12:20:01 午前,1.2,2.52,5.54,1005.450
56,05/29/2021 12:30:01 午前,1.2,2.01,5.03,1005.750
57,05/29/2021 12:40:01 午前,1.2,1.01,3.52,1005.550
58,05/29/2021 12:50:01 午前,1.2,0.50,2.52,1005.550
59,05/29/2021 01:00:01 午前,1.2,0.50,4.03,1005.550
60,05/29/2021 01:10:01 午前,1.2,2.01,4.53,1005.850
61,05/29/2021 01:20:01 午前,1.2,2.01,4.03,1005.850
62,05/29/2021 01:30:01 午前,1.2,2.52,5.03,1005.850
63,05/29/2021 01:40:01 午前,1.2,2.52,5.03,1005.950
64,05/29/2021 01:50:01 午前,1.2,2.01,5.03,1005.850
65,05/29/2021 02:00:01 午前,1.2,2.01,5.03,1005.850
66,05/29/2021 02:10:01 午前,1.2,0.50,2.52,1005.850
67,05/29/2021 02:20:01 午前,1.2,0.50,3.52,1006.050
68,05/29/2021 02:30:01 午前,1.2,0.00,1.51,1006.050
69,05/29/2021 02:40:01 午前,1.2,0.00,1.51,1006.050
70,05/29/2021 02:50:01 午前,1.2,0.00,1.51,1006.050
71,05/29/2021 03:00:01 午前,1.2,0.00,1.01,1005.950
72,05/29/2021 03:10:01 午前,1.2,0.00,1.01,1006.050
73,05/29/2021 03:20:01 午前,1.2,0.00,1.51,1006.150
74,05/29/2021 03:30:01 午前,1.2,0.00,1.51,1006.250
75,05/29/2021 03:40:01 午前,1.2,0.00,1.51,1006.350
76,05/29/2021 03:50:01 午前,1.2,0.50,2.52,1006.350
77,05/29/2021 04:00:01 午前,1.2,0.00,2.52,1006.250
78,05/29/2021 04:10:01 午前,1.2,0.00,2.01,1006.250
79,05/29/2021 04:20:01 午前,1.2,0.00,1.51,1006.450
80,05/29/2021 04:30:01 午前,1.2,0.50,2.01,1006.550
81,05/29/2021 04:40:01 午前,1.2,0.00,1.51,1006.650
82,05/29/2021 04:50:01 午前,1.2,0.00,0.50,1006.550
83,05/29/2021 05:00:01 午前,1.2,0.00,2.01,1006.350
84,05/29/2021 05:10:01 午前,3.7,0.50,2.52,1006.350
85,05/29/2021 05:20:01 午前,16.2,0.00,2.52,1006.550
86,05/29/2021 05:30:01 午前,31.2,0.00,1.01,1006.350
87,05/29/2021 05:40:01 午前,53.7,0.00,0.50,1006.550
88,05/29/2021 05:50:01 午前,71.2,0.00,1.51,1006.750
89,05/29/2021 06:00:01 午前,98.7,0.50,2.01,1006.750
90,05/29/2021 06:10:01 午前,108.7,0.00,1.51,1006.850
91,05/29/2021 06:20:01 午前,106.2,0.00,2.52,1006.750
92,05/29/2021 06:30:01 午前,321.2,0.50,2.52,1006.150
93,05/29/2021 06:40:01 午前,341.2,1.01,3.52,1006.250
94,05/29/2021 06:50:01 午前,171.2,1.01,3.52,1007.050
95,05/29/2021 07:00:01 午前,588.7,1.01,3.52,1006.050
96,05/29/2021 07:10:01 午前,276.2,0.00,2.01,1007.250
97,05/29/2021 07:20:01 午前,298.7,0.50,3.52,1007.350
98,05/29/2021 07:30:01 午前,343.7,1.01,3.02,1006.950
99,05/29/2021 07:40:01 午前,348.7,0.50,3.02,1007.250
100,05/29/2021 07:50:01 午前,263.7,0.50,5.03,1007.750
101,05/29/2021 08:00:01 午前,418.7,1.51,4.03,1007.150
102,05/29/2021 08:10:01 午前,341.2,1.51,4.53,1007.350
103,05/29/2021 08:20:01 午前,326.2,2.01,5.03,1007.550
104,05/29/2021 08:30:01 午前,1213.7,1.01,3.52,1006.250
105,05/29/2021 08:40:01 午前,486.2,1.51,4.03,1007.050
106,05/29/2021 08:50:01 午前,1243.7,1.51,4.03,1005.950
107,05/29/2021 09:00:01 午前,1318.7,1.51,3.52,1005.850
108,05/29/2021 09:10:01 午前,1311.2,1.51,4.03,1006.050
109,05/29/2021 09:20:01 午前,1416.2,1.01,2.52,1005.950
110,05/29/2021 09:30:01 午前,1478.7,1.01,3.02,1005.850
