ymd,hpa,temperature_air
1980-01-01,1020.7,13
1980-01-01,1016,13.4
1980-01-01,1016.2,13.3
1980-01-01,1018.2,8.6
1980-01-01,1022.4,4.6
1980-01-01,1019.9,7.9
1980-01-01,1026.1,3.9
1980-01-01,1028.2,5
1980-01-01,1018.5,7.5
1980-01-01,1019.7,7.2
1980-01-01,1026.2,3.1
1980-01-01,1020.7,6.1
1980-01-01,1015.8,7.5
1980-01-01,1020.1,5.5
1980-01-01,1021.1,5.6
1980-01-01,1023,5.1
1980-01-01,1023.3,4.8
1980-01-01,1031.1,2
1980-01-01,1027.1,5.1
1980-01-01,1020.6,5.6
1980-01-01,1019.5,3.5
1980-01-01,1022.1,3.1
1980-01-01,1022.4,5.9
1980-01-01,1022.4,7.2
1980-01-01,1022.2,5.6
1980-01-01,1020.2,10
1980-01-01,1016.2,14
1980-01-01,1010.5,14.3
1980-01-01,1005.1,12.6
1980-01-01,1010.3,3.4
1980-01-01,1017.1,1.6
1980-02-01,1021,3.2
1980-02-01,1023.5,4.3
1980-02-01,1021.1,5.4
1980-02-01,1021,3.5
1980-02-01,1022.6,1.2
1980-02-01,1026.9,1.7
1980-02-01,1027.3,1.7
1980-02-01,1025.2,1.8
1980-02-01,1025,1.7
1980-02-01,1026.7,4.8
1980-02-01,1026.1,6.3
1980-02-01,1025.4,5.5
1980-02-01,1028.6,5.1
1980-02-01,1029.6,5.2
1980-02-01,1029.8,4
1980-02-01,1031.4,3.4
1980-02-01,1031.7,4.2
1980-02-01,1023.3,8.3
1980-02-01,1018.7,9.7
1980-02-01,1023.6,8
1980-02-01,1025.6,6.5
1980-02-01,1026.2,5.9
1980-02-01,1025.1,7.6
1980-02-01,1022.9,8.4
1980-02-01,1021.3,9.1
1980-02-01,1007.6,11.3
1980-02-01,1008.7,8.7
1980-02-01,1015,8.3
1980-02-01,1015.7,10.6
1980-03-01,1008.2,11.5
1980-03-01,1017.1,8.5
1980-03-01,1019,9.3
1980-03-01,1016,9.2
1980-03-01,1014.6,10.7
1980-03-01,1016.3,10.6
1980-03-01,1011.8,11.2
1980-03-01,1014.5,11.8
1980-03-01,1004.5,12
1980-03-01,1018.1,11.7
1980-03-01,1020.1,10.5
1980-03-01,1021.8,10.1
1980-03-01,1020.2,11.4
1980-03-01,1016.9,8.9
1980-03-01,1022.7,7.9
1980-03-01,1022.5,9.5
1980-03-01,1019.3,10.3
1980-03-01,1020.7,10.5
1980-03-01,1023.2,10.8
1980-03-01,1021.2,12.5
1980-03-01,1016.7,12.9
1980-03-01,1011.4,9.9
1980-03-01,1022.9,7.3
1980-03-01,1027,6.1
1980-03-01,1025.5,6.1
1980-03-01,1024,9.6
1980-03-01,1025.8,9.1
1980-03-01,1024.2,10.6
1980-03-01,1010.7,14.1
1980-03-01,1017.5,13.5
1980-03-01,1014.2,14.1
1980-04-01,1019.4,11.3
1980-04-01,1024.8,10.7
1980-04-01,1026.3,11.2
1980-04-01,1025.1,16.8
1980-04-01,1018.9,17.7
1980-04-01,1013.1,14.5
1980-04-01,1018.6,11.9
1980-04-01,1014.8,15.9
1980-04-01,1011.9,14.5
1980-04-01,1020.2,12
1980-04-01,1019.7,16.7
1980-04-01,1011.7,16.7
1980-04-01,1006.6,15.8
1980-04-01,1010.2,10.9
1980-04-01,1015.6,9.8
1980-04-01,1015,10.2
1980-04-01,1016.6,9.8
1980-04-01,1019.4,14.2
1980-04-01,1018.3,18.4
1980-04-01,1013.5,15.5
1980-04-01,1014.3,13.2
1980-04-01,1013.7,14.7
1980-04-01,1016.9,13.8
1980-04-01,1019.8,11.3
1980-04-01,1021,12.1
1980-04-01,1022.1,15.3
1980-04-01,1012,15
1980-04-01,1016.7,13.7
1980-04-01,1015.1,15.3
1980-04-01,1012.1,15.1
1980-05-01,1018.2,15.3
1980-05-01,1018.9,15.7
1980-05-01,1013.1,18.6
1980-05-01,1011.6,18.4
1980-05-01,1012.7,18.5
1980-05-01,1016.9,14.2
1980-05-01,1019.6,14.3
1980-05-01,1011.3,14.6
1980-05-01,1011.2,15.5
1980-05-01,1017.8,16.2
1980-05-01,1017.7,17.6
1980-05-01,1009.8,18.8
1980-05-01,1010.3,18.8
1980-05-01,1009.2,19.5
1980-05-01,1007.3,18.7
1980-05-01,1013.4,15.4
1980-05-01,1015.9,15.3
1980-05-01,1017.5,16.4
1980-05-01,1016.9,17.7
1980-05-01,1010.9,19
1980-05-01,1009.2,18.1
1980-05-01,1012.3,19.1
1980-05-01,1013.4,18.7
1980-05-01,1012.9,20.8
1980-05-01,1006.6,22.4
1980-05-01,1002.5,17.5
1980-05-01,1010.9,16.6
1980-05-01,1012.5,17.2
1980-05-01,1012.1,20.4
1980-05-01,1009.8,21.1
1980-05-01,1008.8,21.2
1980-06-01,1010.9,21.1
1980-06-01,1009.2,20.6
1980-06-01,1014.7,19.2
1980-06-01,1018.3,19.2
1980-06-01,1019.7,19.7
1980-06-01,1017.3,20.9
1980-06-01,1014,22.3
1980-06-01,1011.3,23.2
1980-06-01,1010.2,22.1
1980-06-01,1009.5,19.7
1980-06-01,1006,20.7
1980-06-01,1007.6,21.3
1980-06-01,1009.5,22
1980-06-01,1010.7,21.9
1980-06-01,1010.2,23.8
1980-06-01,1009.5,25.5
1980-06-01,1005.5,25.2
1980-06-01,1006.1,23
1980-06-01,1011.3,20.5
1980-06-01,1010,20.2
1980-06-01,1012.1,21
1980-06-01,1015.1,21.9
1980-06-01,1016,21.3
1980-06-01,1013.6,22.1
1980-06-01,1008.4,25.3
1980-06-01,1006.6,25.2
1980-06-01,1007.3,25.9
1980-06-01,1007.6,24.7
1980-06-01,1009.9,23.5
1980-06-01,1009,22.2
1980-07-01,1002.3,25.2
1980-07-01,1000.7,21.5
1980-07-01,1002.4,20.7
1980-07-01,1002.9,21.2
1980-07-01,1002.6,24.1
1980-07-01,1004.9,22.6
1980-07-01,1006.9,22.6
1980-07-01,1008.3,24.2
1980-07-01,1008.3,23.9
1980-07-01,1006.8,25
1980-07-01,1004.6,27
1980-07-01,1005.3,23.5
1980-07-01,1006.5,24.5
1980-07-01,1005,25.6
1980-07-01,1010.8,23.4
1980-07-01,1012.3,23.5
1980-07-01,1010.5,25.5
1980-07-01,1010.7,27.5
1980-07-01,1012.1,27.5
1980-07-01,1014.6,27.6
1980-07-01,1015.7,27.4
1980-07-01,1013.4,27.4
1980-07-01,1009.9,28.2
1980-07-01,1005.8,26.5
1980-07-01,1005.6,26.1
1980-07-01,1006.1,28.6
1980-07-01,1008.7,26.5
1980-07-01,1007.9,27.8
1980-07-01,1005.6,28.3
1980-07-01,1000.8,25.3
1980-07-01,1005.1,23.5
1980-08-01,1007.5,23.2
1980-08-01,1008.1,24
1980-08-01,1006.2,24.5
1980-08-01,1003.5,24.6
1980-08-01,1003.4,25.2
1980-08-01,1003.9,24.9
1980-08-01,1003.3,23.4
1980-08-01,1003,21.9
1980-08-01,1007.2,22.2
1980-08-01,1007.3,22.6
1980-08-01,1009.2,23.3
1980-08-01,1010.1,23.6
1980-08-01,1007,25.8
1980-08-01,1008.5,25.8
1980-08-01,1009.2,26.7
1980-08-01,1010.1,24.3
1980-08-01,1009.8,24
1980-08-01,1009.1,25.1
1980-08-01,1012,24.4
1980-08-01,1010.9,24.8
1980-08-01,1010.7,24.7
1980-08-01,1009.2,24.4
1980-08-01,1008.7,24.3
1980-08-01,1008.9,24.7
1980-08-01,1007,26.6
1980-08-01,1006.3,27.7
1980-08-01,1009.9,24.9
1980-08-01,1010.7,25.2
1980-08-01,1009.7,28.5
1980-08-01,1006.5,28.4
1980-08-01,1007,25.1
1980-09-01,1012.4,23.9
1980-09-01,1013.3,24.4
1980-09-01,1014,24.8
1980-09-01,1013.5,25.2
1980-09-01,1009.7,25.8
1980-09-01,1010.9,24.2
1980-09-01,1012.2,22.2
1980-09-01,1012.4,23.7
1980-09-01,1008.3,24.5
1980-09-01,998.9,23
1980-09-01,990.3,21
1980-09-01,1002.7,22.2
1980-09-01,1008.2,21.2
1980-09-01,1013.5,20
1980-09-01,1015.7,21.5
