id,station,datetime,direction,temperature,NO23,PO4,NO2,NO3,NH4
1,Sand,2018-08-12T08:50:00Z,Flood tide,30.9,0.264,0.154,0.061,0.203,0.665
2,Canopy edge,2018-08-12T08:50:00Z,Flood tide,30.9,0.059,0.139,0.020,0.038,0.400
3,Canopy interior,2018-08-12T08:50:00Z,Flood tide,30.9,0.051,0.139,0.023,0.029,0.102
4,Control,2018-08-12T08:50:00Z,Flood tide,30.9,0.094,0.128,0.034,0.060,0.430
1,Sand,2018-08-12T15:10:00Z,Ebb tide,31.3,1.004,0.229,0.073,0.930,0.533
2,Canopy edge,2018-08-12T15:10:00Z,Ebb tide,31.3,0.143,0.149,0.039,0.104,0.696
3,Canopy interior,2018-08-12T15:10:00Z,Ebb tide,31.3,0.149,0.132,0.031,0.119,0.245
4,Control,2018-08-12T15:10:00Z,Ebb tide,31.3,0.099,0.137,0.039,0.060,0.172
1,Sand,2018-08-12T21:40:00Z,Flood tide,28.1,0.043,0.093,0.029,0.013,0.300
2,Canopy edge,2018-08-12T21:40:00Z,Flood tide,28.1,0.018,0.128,0.025,0.000,0.144
3,Canopy interior,2018-08-12T21:40:00Z,Flood tide,28.1,0.020,0.125,0.022,0.000,0.075
4,Control,2018-08-12T21:40:00Z,Flood tide,28.1,0.058,0.117,0.027,0.032,0.437
1,Sand,2018-08-13T09:30:00Z,Flood tide,32.9,0.113,0.137,0.030,0.083,0.265
2,Canopy edge,2018-08-13T09:30:00Z,Flood tide,32.9,0.062,0.110,0.040,0.023,0.261
3,Canopy interior,2018-08-13T09:30:00Z,Flood tide,32.9,0.052,0.143,0.027,0.025,0.150
4,Control,2018-08-13T09:30:00Z,Flood tide,32.9,0.087,0.131,0.037,0.050,0.172
1,Sand,2018-08-13T15:50:00Z,Ebb tide,31.4,0.311,0.159,0.056,0.255,0.367
2,Canopy edge,2018-08-13T15:50:00Z,Ebb tide,31.4,0.033,0.147,0.030,0.004,0.453
3,Canopy interior,2018-08-13T15:50:00Z,Ebb tide,31.4,0.026,0.134,0.028,0.000,0.100
4,Control,2018-08-13T15:50:00Z,Ebb tide,31.4,0.047,0.110,0.030,0.017,0.782
1,Sand,2018-08-13T22:10:00Z,Flood tide,27.8,0.091,0.140,0.034,0.056,0.218
2,Canopy edge,2018-08-13T22:10:00Z,Flood tide,27.8,0.020,0.126,0.030,0.000,0.253
3,Canopy interior,2018-08-13T22:10:00Z,Flood tide,27.8,0.021,0.141,0.029,0.000,0.482
4,Control,2018-08-13T22:10:00Z,Flood tide,27.8,0.130,0.143,0.048,0.082,0.140
